order_id,customer_id,order_date,delivery_date,customer_segment,region,country,city,ev_model,battery_capacity_kwh,range_km,charging_type,autopilot_package,purchase_channel,base_price_usd,incentives_usd,final_price_usd,warranty_years,service_plan,customer_age,satisfaction_score,issues_reported,returned,energy_consumption_kwh_per_100km,mileage_after_1_year_km,maintenance_cost_year1_usd
500000,2126,11/4/2023,22-Nov-23,personal,east,THAILAND,bangkok,EcoRide 5,75,422,ac,No,  Dealership  ,50830,0,49930,5,standard,61,7.6,NONE,No,,16640,288.33
500001,2459,15/12/2023,12-19-2023,PERSONAL,SOUTH,  Malaysia  ,  Penang  ,EcoRide 3,,585,dc fast,No,  Online  ,48450,0,48070,5,  Premium  ,,8.6,None,No,15.5,31560,578.76
500002,1860,07-24-2024,08-13-2024,Personal,EAST,  Singapore  ,Singapore,EcoRide 3,60,370,supercharger,No,Dealership,43590,1000,42730,5,  Standard  ,36,7,Other,No,18.9,20700,512.23
500003,2294,30/8/2022,09-18-2022,  Corporate  ,EAST,thailand,,VoltX S,90,514,  AC  ,Yes,Online,32070,2500,27600,5,EXTENDED,65,9.4,none,No,15.5,22090,348.91
500004,2130,2-Jan-22,11/1/2022,Fleet,  South  ,,SINGAPORE,EcoRide 5,60,370,  AC  ,Yes,ONLINE,45580,2500,42830,5,STANDARD,64,8,  Software  ,No,15.6,38740,106.71
500005,2095,13/8/2022,28/8/2022,Corporate,NORTH,  Thailand  ,Chiang Mai,VoltX Pro,75,447,AC,Yes,  Dealership  ,29820,2500,26630,6,  Standard  ,61,6.7,None,No,10.8,28450,610.12
500006,2724,11/3/2024,31-Mar-24,personal,north,Singapore,singapore,EcoRide 5,100,593,  Supercharger  ,Yes,dealership,48970,0,,5,premium,43,8.6,NONE,No,17.3,20000,428.78
500007,2044,12/8/2023,28/8/2023,CORPORATE,EAST,  Malaysia  ,  Shah Alam  ,VoltX Pro,,357,Home Charger,No,Online,38150,5000,33400,7,extended,39,7.8,software,No,17.4,24590,636.85
500008,2638,26/4/2022,16/5/2022,Personal,  East  ,malaysia,JOHOR BAHRU,VoltX Pro,70,440,AC,No,ONLINE,43880,1000,44150,5,  Standard  ,46,7.3,Charging,No,16.6,25860,227.29
500009,1121,7/6/2024,21-Jul-24,  Personal  ,  East  ,malaysia,  Johor Bahru  ,EcoRide 5,50,293,dc fast,Yes,DEALERSHIP,41420,0,39410,3,  Extended  ,44,5,none,No,18.4,27750,514.35
500010,1466,13/7/2022,26/7/2022,Fleet,east,malaysia,JOHOR BAHRU,UrbanEV,80,444,Home Charger,No,DEALERSHIP,48960,2500,45840,7,EXTENDED,67,7.5,  None  ,No,20,14740,493.65
500011,2238,20/5/2024,7-Jun-24,PERSONAL,South,thailand,CHIANG MAI,EcoRide 5,100,603,AC,Yes,  Dealership  ,39470,0,39670,6,  Extended  ,37,7.3,NONE,No,16.9,33410,458.04
500012,1330,31/3/2022,04-19-2022,Corporate,south,INDONESIA,surabaya,VoltX Pro,75,431,  Supercharger  ,Yes,  Dealership  ,46790,2500,45580,3,STANDARD,47,9.4,none,No,18.8,31970,816.09
500013,2482,5/2/2022,12/5/2022,  Personal  ,North,MALAYSIA,  Shah Alam  ,FamilyEV XL,90,504,ac,Yes,Online,46290,1000,44180,4,  Standard  ,55,8.8,Software,No,18.1,15500,
500014,1087,23/5/2022,13/6/2022,FLEET,  South  ,vietnam,HO CHI MINH CITY,EcoRide 3,80,425,dc fast,No,DEALERSHIP,45460,0,44660,5,  Standard  ,50,9.1,none,No,20.2,21900,153.83
500015,2396,20/9/2024,7/10/2024,personal,West,Singapore,SINGAPORE,EcoRide 3,50,319,  DC Fast  ,No,  Online  ,47750,1000,48060,3,  Standard  ,69,3.6,Software,No,18.6,22520,419.85
500016,2123,16-Apr-22,04-27-2022,FLEET,,Vietnam,HANOI,VoltX S,100,626,Supercharger,No,CORPORATE FLEET,36580,1000,37880,5,Extended,56,8.3,BATTERY,No,22.5,23120,177.31
500017,1871,5-Jun-24,17-Jun-24,personal,SOUTH,  Thailand  ,BANGKOK,EcoRide 3,100,656,  AC  ,Yes,  Dealership  ,36840,1000,37550,8,premium,45,5.9,  None  ,No,17.8,27430,783.07
500018,2687,4/3/2023,03-18-2023,PERSONAL,East,THAILAND,CHIANG MAI,UrbanEV,70,420,AC,Yes,dealership,55030,1000,55750,4,Premium,41,5.1,None,No,14.2,19680,549.26
500019,1130,13/11/2022,16/11/2022,,West,malaysia,Penang,VoltX Pro,70,,ac,No,ONLINE,34220,2500,32150,4,STANDARD,53,7.1,none,No,20.8,25020,
500020,2685,27/9/2023,8-Oct-23,personal,  South  ,  Malaysia  ,johor bahru,EcoRide 5,70,,dc fast,No,ONLINE,,0,60290,6,  Extended  ,53,8.1,none,No,18.9,26430,217.86
